rc_m,seed,switch_c0,switch_c1_slope,fade_cost_us
1.5,20,8.650190405057323e-05,0.00013244415120183817,710.5485005013179
1.5,21,8.650190405057323e-05,0.00013244415120183817,703.5068003460765
1.5,22,8.650190405057323e-05,0.00013244415120183817,712.7761986339465
1.5,23,8.650190405057323e-05,0.00013244415120183817,715.4767001338769
1.5,24,8.650190405057323e-05,0.00013244415120183817,714.0696005080827
1.5,25,8.650190405057323e-05,0.00013244415120183817,699.3038012296893
1.5,26,8.650190405057323e-05,0.00013244415120183817,712.9977988370229
1.5,27,8.650190405057323e-05,0.00013244415120183817,716.6341005358845
1.5,28,8.650190405057323e-05,0.00013244415120183817,714.4034992961679
1.5,29,8.650190405057323e-05,0.00013244415120183817,697.8755009185988
2.0,0,0.000152269780805514,0.00013643487339898286,705.7142007397488
2.0,1,0.000152269780805514,0.00013643487339898286,705.8162002067547
2.0,2,0.000152269780805514,0.00013643487339898286,705.9796989778988
2.0,3,0.000152269780805514,0.00013643487339898286,702.2141006018501
2.0,4,0.000152269780805514,0.00013643487339898286,703.3800990029704
2.0,5,0.000152269780805514,0.00013643487339898286,692.4774999788497
2.0,6,0.000152269780805514,0.00013643487339898286,693.3973010745831
2.0,7,0.000152269780805514,0.00013643487339898286,692.9753013537265
2.0,8,0.000152269780805514,0.00013643487339898286,692.610300029628
2.0,9,0.000152269780805514,0.00013643487339898286,691.9137980730738
2.0,10,0.000152269780805514,0.00013643487339898286,724.0814004035201
2.0,11,0.000152269780805514,0.00013643487339898286,725.4543990711682
2.0,12,0.000152269780805514,0.00013643487339898286,724.073300807504
2.0,13,0.000152269780805514,0.00013643487339898286,717.2926008934155
2.0,14,0.000152269780805514,0.00013643487339898286,716.2622001487762
2.0,15,0.000152269780805514,0.00013643487339898286,727.1244001458399
2.0,16,0.000152269780805514,0.00013643487339898286,729.1796995559707
2.0,17,0.000152269780805514,0.00013643487339898286,744.3847993272357
2.0,18,0.000152269780805514,0.00013643487339898286,752.6487999712117
2.0,19,0.000152269780805514,0.00013643487339898286,722.5408997328486
2.0,20,0.000152269780805514,0.00013643487339898286,728.9285982551519
2.0,21,0.000152269780805514,0.00013643487339898286,726.5949010616168
2.0,22,0.000152269780805514,0.00013643487339898286,714.3859009374864
2.0,23,0.000152269780805514,0.00013643487339898286,716.0869005019777
2.0,24,0.000152269780805514,0.00013643487339898286,725.2924995555077
2.0,25,0.000152269780805514,0.00013643487339898286,734.3181983742397
2.0,26,0.000152269780805514,0.00013643487339898286,718.5449016105849
2.0,27,0.000152269780805514,0.00013643487339898286,712.7156008209568
2.0,28,0.000152269780805514,0.00013643487339898286,703.1507993815467
2.0,29,0.000152269780805514,0.00013643487339898286,698.3423998462968
3.0,0,0.00026294897975664977,7.204977170438553e-05,709.1426996339578
3.0,1,0.00026294897975664977,7.204977170438553e-05,708.0971990944818
3.0,2,0.00026294897975664977,7.204977170438553e-05,701.8008982413448
3.0,3,0.00026294897975664977,7.204977170438553e-05,708.7622987455688
3.0,4,0.00026294897975664977,7.204977170438553e-05,708.1165007548407
3.0,5,0.00026294897975664977,7.204977170438553e-05,696.5808002860285
3.0,6,0.00026294897975664977,7.204977170438553e-05,717.9908010584768
3.0,7,0.00026294897975664977,7.204977170438553e-05,707.9526993038598
