global_resolution,grid_spacing_m,method,seed,seam_c0_rms_m,t_total_ms,single_grid_baked_vertices
192,0.418848167539267,gaussian_calibrated,9,9.848092583573077e-07,7.356686997809447,36864
192,0.418848167539267,hybrid,0,3.480731641141478e-06,7.635829999344423,36864
192,0.418848167539267,hybrid,1,1.207465827064763e-06,7.7860739911557175,36864
192,0.418848167539267,hybrid,2,2.5132286038868922e-06,7.533500996942166,36864
192,0.418848167539267,hybrid,3,1.3146258718354602e-06,7.516864992794581,36864
192,0.418848167539267,hybrid,4,2.5174917936202376e-06,7.671272003790364,36864
192,0.418848167539267,hybrid,5,3.265445296457918e-06,7.548613997641951,36864
192,0.418848167539267,hybrid,6,1.340088727441136e-06,7.922798999061342,36864
192,0.418848167539267,hybrid,7,2.1462279585348537e-06,8.10799100145232,36864
192,0.418848167539267,hybrid,8,2.439160995846676e-06,7.775337006023619,36864
192,0.418848167539267,hybrid,9,2.030164837093833e-06,7.721670997852925,36864
256,0.3137254901960784,smoothstep,0,2.9882117315691294e-06,13.764292001724243,65536
256,0.3137254901960784,smoothstep,1,1.035688043276086e-06,15.367036001407541,65536
256,0.3137254901960784,smoothstep,2,2.491480854574572e-06,15.30559100501705,65536
256,0.3137254901960784,smoothstep,3,1.2888647051234676e-06,14.929341996321455,65536
256,0.3137254901960784,smoothstep,4,2.0589969578243964e-06,14.896235996275209,65536
256,0.3137254901960784,smoothstep,5,3.2199209016604174e-06,15.102884994121268,65536
256,0.3137254901960784,smoothstep,6,1.2681115626378501e-06,15.231085009872913,65536
256,0.3137254901960784,smoothstep,7,2.1076782190601457e-06,14.586087003408466,65536
256,0.3137254901960784,smoothstep,8,2.2705159956028857e-06,14.6321399952285,65536
256,0.3137254901960784,smoothstep,9,1.8183374946275401e-06,14.611168997362256,65536
256,0.3137254901960784,gaussian_calibrated,0,2.12872685182123e-06,14.580347000446636,65536
256,0.3137254901960784,gaussian_calibrated,1,6.991989677165208e-07,14.881495997542515,65536
256,0.3137254901960784,gaussian_calibrated,2,1.6488794830707391e-06,14.895493994117714,65536
256,0.3137254901960784,gaussian_calibrated,3,8.709402053471138e-07,15.242301000398584,65536
256,0.3137254901960784,gaussian_calibrated,4,1.3934912205836375e-06,14.980257008573972,65536
256,0.3137254901960784,gaussian_calibrated,5,2.179309589806045e-06,15.217793996271212,65536
256,0.3137254901960784,gaussian_calibrated,6,8.500586524073223e-07,15.759660003823228,65536
256,0.3137254901960784,gaussian_calibrated,7,1.39898932072001e-06,15.247117989929393,65536
256,0.3137254901960784,gaussian_calibrated,8,1.500358858016808e-06,15.119287018023897,65536
256,0.3137254901960784,gaussian_calibrated,9,1.2774354286159374e-06,16.077563996077515,65536
256,0.3137254901960784,hybrid,0,2.9882117315691294e-06,16.183921994525008,65536
256,0.3137254901960784,hybrid,1,1.035688043276086e-06,15.688927000155672,65536
256,0.3137254901960784,hybrid,2,2.491480854574572e-06,15.131118001590949,65536
256,0.3137254901960784,hybrid,3,1.2888647051234676e-06,16.768597008194774,65536
256,0.3137254901960784,hybrid,4,2.0589969578243964e-06,15.434256012667902,65536
256,0.3137254901960784,hybrid,5,3.2199209016604174e-06,15.50521999160992,65536
256,0.3137254901960784,hybrid,6,1.2681115626378501e-06,15.152097003010567,65536
256,0.3137254901960784,hybrid,7,2.1076782190601457e-06,13.151028004358523,65536
256,0.3137254901960784,hybrid,8,2.2705159956028857e-06,12.618952998309396,65536
256,0.3137254901960784,hybrid,9,1.8183374946275401e-06,12.544616991363,65536
