R_m,method,seed,seam_c0_rms_m,seam_c1_rms_deg
8.0,gaussian_shipped,18,0.0009714976242060505,0.3524222805645318
8.0,gaussian_shipped,19,0.0023721300113816696,0.9667381127703675
8.0,gaussian_shipped,20,0.0014832523335190956,0.5736172832257349
8.0,gaussian_shipped,21,0.001786937552709498,0.7796803051054165
8.0,gaussian_shipped,22,0.001733324240577217,0.6181438186567625
8.0,gaussian_shipped,23,0.0014525203539891547,0.5640382327410303
8.0,gaussian_shipped,24,0.002255406181898545,0.8882240611473194
8.0,gaussian_shipped,25,0.00124367061937359,0.4347815363604603
8.0,gaussian_shipped,26,0.0010676314902935712,0.43119045097867154
8.0,gaussian_shipped,27,0.002463987828129651,0.9011324950821223
8.0,gaussian_shipped,28,0.0021907077152474924,0.8201048877866286
8.0,gaussian_shipped,29,0.0011199314222306179,0.44057347423621923
8.0,gaussian_calibrated,0,6.773542895280656e-06,0.002874471583002344
8.0,gaussian_calibrated,1,2.2467073995950642e-06,0.0009363990610279896
8.0,gaussian_calibrated,2,5.558625068216223e-06,0.002216541616583297
8.0,gaussian_calibrated,3,2.6191222750236687e-06,0.0011314704587401933
8.0,gaussian_calibrated,4,4.7642809652209525e-06,0.0018895739373039633
8.0,gaussian_calibrated,5,7.212300669194569e-06,0.002731657576502226
8.0,gaussian_calibrated,6,2.8883085126148044e-06,0.001149267122826682
8.0,gaussian_calibrated,7,4.480121193187627e-06,0.0017380146997751388
8.0,gaussian_calibrated,8,4.621172646586955e-06,0.0018804479699195112
8.0,gaussian_calibrated,9,4.4730805517711005e-06,0.0016799223973433196
8.0,gaussian_calibrated,10,7.219341677433268e-06,0.002910346708021229
8.0,gaussian_calibrated,11,5.355156250974259e-06,0.0021437254273314324
8.0,gaussian_calibrated,12,6.313490733545499e-06,0.0026164182138826235
8.0,gaussian_calibrated,13,6.809706543259917e-06,0.0028604829766188805
8.0,gaussian_calibrated,14,5.247470711598249e-06,0.0019114811615993318
8.0,gaussian_calibrated,15,7.004359100926353e-06,0.002777052845633445
8.0,gaussian_calibrated,16,6.30667863730503e-06,0.002359888679798383
8.0,gaussian_calibrated,17,2.2264187571157455e-06,0.0008632201633938512
8.0,gaussian_calibrated,18,2.8425448180396742e-06,0.0010643484960967434
